Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02,95.31053161621094,101.12000274658203,101.75,98.94000244140625,99.55000305175781,35329300
2019-01-03,91.80426788330078,97.4000015258789,100.19000244140625,97.19999694824219,100.0999984741211,42579100
2019-01-04,96.0739974975586,101.93000030517578,102.51000213623047,98.93000030517578,99.72000122070312,44060600
2019-01-07,96.1965103149414,102.05999755859375,103.2699966430664,100.9800033569336,101.63999938964844,35656100
2019-01-08,96.89401245117188,102.80000305175781,103.97000122070312,101.70999908447266,103.04000091552734,31514400
2019-01-09,98.27955627441406,104.2699966430664,104.87999725341797,103.23999786376953,103.86000061035156,32280800
2019-01-10,97.6480712890625,103.5999984741211,103.75,102.37999725341797,103.22000122070312,30067600
2019-01-11,96.89401245117188,102.80000305175781,103.44000244140625,101.63999938964844,103.19000244140625,28314200
2019-01-14,96.18712615966797,102.05000305175781,102.87000274658203,101.26000213623047,101.9000015258789,28437100
2019-01-15,98.97705841064453,105.01000213623047,105.05000305175781,101.87999725341797,102.51000213623047,31587600
2019-01-16,99.32581329345703,105.37999725341797,106.26000213623047,104.95999908447266,105.26000213623047,29853900
2019-01-17,100.0232925415039,106.12000274658203,106.62999725341797,104.76000213623047,105.0,28393000
2019-01-18,101.5219497680664,107.70999908447266,107.9000015258789,105.91000366210938,107.45999908447266,37427600
2019-01-22,99.60855102539062,105.68000030517578,107.0999984741211,104.86000061035156,106.75,32371300
2019-01-23,100.57938385009766,106.70999908447266,107.04000091552734,105.33999633789062,106.12000274658203,25874300
2019-01-24,100.09869384765625,106.19999694824219,107.0,105.33999633789062,106.86000061035156,23164800
2019-01-25,101.01295471191406,107.16999816894531,107.87999725341797,106.19999694824219,107.23999786376953,31225600
2019-01-28,99.04303741455078,105.08000183105469,106.4800033569336,104.66000366210938,106.26000213623047,29476700
2019-01-29,97.0259780883789,102.94000244140625,104.97000122070312,102.16999816894531,104.87999725341797,31490500
2019-01-30,100.26834106445312,106.37999725341797,106.37999725341797,104.33000183105469,104.62000274658203,49471900
2019-01-31,98.43040466308594,104.43000030517578,105.22000122070312,103.18000030517578,103.80000305175781,55636400
2019-02-01,96.87517547607422,102.77999877929688,104.0999984741211,102.3499984741211,103.77999877929688,35535700
2019-02-04,99.66510772705078,105.73999786376953,105.80000305175781,102.7699966430664,102.87000274658203,31315100
2019-02-05,101.06010437011719,107.22000122070312,107.2699966430664,105.95999908447266,106.05999755859375,27325400
2019-02-06,99.93846130371094,106.02999877929688,107.0,105.52999877929688,107.0,20609800
2019-02-07,99.22212219238281,105.2699966430664,105.58999633789062,104.29000091552734,105.19000244140625,29760700
2019-02-08,99.59913635253906,105.66999816894531,105.77999877929688,104.26000213623047,104.38999938964844,21461100
2019-02-11,99.20327758789062,105.25,106.58000183105469,104.97000122070312,106.19999694824219,18914100
2019-02-12,100.74905395507812,106.88999938964844,107.13999938964844,105.4800033569336,106.13999938964844,25056600
2019-02-13,100.67363739013672,106.80999755859375,107.77999877929688,106.70999908447266,107.5,18394900
2019-02-14,100.75848388671875,106.9000015258789,107.29000091552734,105.66000366210938,106.30999755859375,21784700
2019-02-15,102.00264739990234,108.22000122070312,108.30000305175781,107.36000061035156,107.91000366210938,26606900
2019-02-19,101.95551300048828,108.16999816894531,108.66000366210938,107.77999877929688,107.79000091552734,18038500
